name,address,lng,lat
松南郊野公园,上海市松江区车墩镇松金公路9535号,121.2455,30.981549
上海梨文化博物馆,上海市松江区富永路2000号,121.231508,30.970257
平湖浜天主堂,上海市松江区盐仓三村431号,121.235619,30.979784
韩湘水博园,闵行区江川路3805号(近仙鹤路),121.335761,30.990343
千年古樟,上海市闵行区江川路韩湘水博园,121.338614,30.991207
韩仓,上海市闵行区江川路韩湘水博园东侧约180米,121.341834,30.990426
泰顺桥,上海市闵行区江川路3805号临韩湘水博园,121.337179,30.989732
范公亭,上海市闵行区江川路3805号临韩湘水博园,121.337757,30.991862
陆家浜桥,上海市闵行区江川路3805号临韩湘水博园,121.333961,30.989409
浦江魂,上海市闵行区江川路3805号临韩湘水博园,121.337911,30.991343
大禹桥,上海市闵行区江川路3805号临韩湘水博园,121.334582,30.990298
杨树浦桥,上海市闵行区江川路3805号临韩湘水博园,121.334345,30.98947
凤凰桥,上海市闵行区江川路3805号临韩湘水博园,121.334481,30.990534
韩湘水博园,闵行区江川路3805号(近仙鹤路),121.335761,30.990343
韩仓,上海市闵行区江川路韩湘水博园东侧约180米,121.341834,30.990426
千年古樟,上海市闵行区江川路韩湘水博园,121.338614,30.991207
泰顺桥,上海市闵行区江川路3805号临韩湘水博园,121.337179,30.989732
范公亭,上海市闵行区江川路3805号临韩湘水博园,121.337757,30.991862
浦江魂,上海市闵行区江川路3805号临韩湘水博园,121.337911,30.991343
咸泰桥,上海市闵行区江川路3805号临韩湘水博园,121.337269,30.989523
益民桥,上海市闵行区江川路3805号临韩湘水博园,121.337288,30.989451
醒狮桥,上海市闵行区江川路3805号临韩湘水博园,121.338308,30.991325
石帆,上海市闵行区江川路3805号临韩湘水博园,121.337404,30.989319
金庆章故居,江川路2060弄101支弄33号临附近,121.355936,30.996408
渔沥林盘,上海市奉贤区北横路与邬桥·友谊路交叉路口往东约110米,121.392487,30.984295
渔沥林盘,上海市奉贤区北横路与邬桥·友谊路交叉路口往东约110米,121.392487,30.984295
中建海峡,上海市奉贤区安东路118号,121.4103,30.966092
李家阁,上海市奉贤区鸿宝路,121.426876,30.991816
临江园,上海市西渡街道灯塔村9组,121.436779,30.988122
杭州生命,上海市奉贤区沪杭公路巨龙台湾城东北侧约30米,121.440604,30.990921
西渡公园,上海市奉贤区南桥西渡江川路354号(扶兰路与扶兰支路交汇处东南侧),121.446484,30.995574
临江园,上海市西渡街道灯塔村9组,121.436779,30.988122
杭州生命,上海市奉贤区沪杭公路巨龙台湾城东北侧约30米,121.440604,30.990921
紫庵,上海市奉贤区西渡街道,121.483653,30.988521
旃檀禅院,上海市奉贤区金汇村1158号,121.500322,30.992883
益民村史馆,上海市奉贤区金海公路与金益路交叉路口往东约130米,121.488724,30.983646
姚家祠堂,上海市奉贤区姚家祠堂(中国菇菌博物馆东),121.489581,30.979423
庵港宅,上海市奉贤区西渡街道,121.501568,30.986879
紫庵,上海市奉贤区西渡街道,121.483653,30.988521
达令港公园,上海市奉贤区汇中路与金闸公路交叉口东南500米,121.515781,30.990981
旃檀禅院,上海市奉贤区金汇村1158号,121.500322,30.992883
元音公园,上海市奉贤区大叶公路金碧汇虹苑东北侧,121.516149,30.981533
庵港宅,上海市奉贤区西渡街道,121.501568,30.986879
姚家祠堂,上海市奉贤区姚家祠堂(中国菇菌博物馆东),121.489581,30.979423
益民村史馆,上海市奉贤区金海公路与金益路交叉路口往东约130米,121.488724,30.983646
达令港公园,上海市奉贤区汇中路与金闸公路交叉口东南500米,121.515781,30.990981
申亚森林足球营地,上海市奉贤区金汇镇明星村1103号,121.540619,30.991743
元音公园,上海市奉贤区大叶公路金碧汇虹苑东北侧,121.516149,30.981533
申亚森林足球营地,上海市奉贤区金汇镇明星村1103号,121.540619,30.991743
申亚生态林,上海市奉贤区明星路与沿浦公路交叉口东北100米,121.548072,30.993822
泰日小匝港公园,上海市奉贤区泰日新建路,121.566895,30.988212
醉白池公园,上海市松江区人民南路64号,121.237516,31.00776
松江烈士陵园,上海市松江区车墩镇联络公路753号,121.251403,31.000106
东岳庙,中山中路196弄9号,121.239928,31.013918
董其昌书画艺术博物馆,上海市松江区人民南路64号醉白池公园,121.237816,31.008015
耿氏宅,上海市松江区景德路机关幼儿园(松乐路店)西南侧约30米,121.24469,31.014983
方塔园-天妃宫,上海市松江区中山东路235号(近方塔南路)方塔园内,121.253029,31.010798
