name,address,lng,lat,count
外滩,上海市黄浦区中山东一路北至外白渡桥、南至十六铺码头,121.497204,31.243453,481
豫园,上海市黄浦区福佑路168号,121.498732,31.232741,63
上海邮政博物馆,上海市虹口区天潼路395号2楼(近四川北路),121.491381,31.25014,48
中山公园,上海市长宁区长宁路780号,121.425343,31.228269,43
宋庆龄故居,上海市徐汇区淮海中路1843号,121.445316,31.210363,42
亭,上海市嘉定区宝安公路深城投十一街区,121.280658,31.33412,31
徐家汇公园,上海市徐汇区肇嘉浜路889号,121.448858,31.203746,23
西岸美术馆,上海市徐汇区龙腾大道2600号,121.470201,31.173712,22
马勒别墅,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.318108,31.018107,21
穿越,上海市浦东新区永泰路659号,121.524218,31.145908,18
北外滩滨江绿地,上海市虹口区东大名路558-678,121.507602,31.253507,17
老街,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320901,31.017555,15
长廊,上海市闵行区昌林路上海浦江郊野公园,121.512702,31.066211,12
上海电影博物馆,上海市徐汇区漕溪北路595号,121.44453,31.192519,11
上海博物馆,上海市黄浦区人民大道201号,121.482126,31.23419,11
张乐平故居,上海市徐汇区五原路288弄3号,121.449749,31.218925,10
前滩休闲公园,前滩大道与园照路交叉口西北100米,121.474496,31.158208,10
天主堂,上海市嘉定区联星村154号,121.273124,31.272525,8
闵行博物馆,上海市闵行区新镇路1538号,121.365556,31.166596,8
滑板公园,上海市闵行区新龙路1285号,121.344402,31.158462,8
世博会博物馆,上海市黄浦区蒙自路818号,121.488517,31.200168,8
震旦博物馆,上海市浦东新区富城路99号震旦国际大楼1层,121.506116,31.240502,8
东岸绿道,上海市浦东新区东岸绿道中国远洋海运大厦西侧约50米,121.516224,31.214386,7
世纪公园,上海市浦东新区锦绣路1001号,121.558979,31.222046,6
龙华寺,上海市徐汇区龙华镇龙华路2853号,121.458265,31.181637,6
长风公园,上海市普陀区大渡河路189号,121.403703,31.230279,6
滨江步道,上海市浦东新区泳耀路与耀体路交叉口西北前滩友城公园内,121.477484,31.162467,6
彩虹桥,上海市闵行区申昆路291号华翔绿地公园(东南角),121.336333,31.177414,6
土山湾博物馆,上海市徐汇区蒲汇塘路55号,121.441491,31.192968,6
彩虹桥,上海市徐汇区龙吴路1111号(近百色路)上海植物园内,121.455399,31.154309,6
凝,上海市闵行区柳鹭田园区游客驿站北,121.511086,31.055795,5
鲁迅公园,上海市虹口区四川北路2288号,121.490155,31.277476,5
浙江路桥,上海市松江区车墩镇北松公路4915号上海影视乐园内,121.320427,31.017421,5
中华艺术宫,上海市浦东新区上南路205号,121.501315,31.190005,5
世博公园,上海市浦东新区世博大道1750号,121.491182,31.1929,5
三一堂,上海市浦东新区浦星公路290号,121.501182,31.132233,5
田园,上海市闵行区梅州路445号,121.401887,31.092918,4
白莲泾桥,上海市浦东新区白莲泾与浦东滨江交汇处;上海市浦东新区一号运动中心向东约100米处,121.507913,31.200889,4
徐汇滨江绿地,上海市徐汇区东安路与龙腾大道交叉口东,121.470436,31.187552,4
杨浦滨江,上海市杨浦区杨树浦路2086号,121.552402,31.269178,4
人民公园,上海市黄浦区南京西路231号,121.479656,31.238252,4
游乐场,上海市闵行区闵行公园内,121.432207,31.015017,4
上海自然博物馆,上海市静安区北京西路510号(静安雕塑公园内),121.469147,31.241162,4
上海公安博物馆,上海市徐汇区瑞金南路518号(近打浦桥),121.474896,31.20445,3
上海城隍庙,上海市黄浦区方浜中路249号,121.499034,31.231471,3
观复博物馆,上海市浦东新区陆家嘴环路479号上海中心大厦第37楼,121.512317,31.239252,3
静安公园,上海市静安区南京西路1649号,121.453099,31.228471,3
古城公园,上海市黄浦区人民路333号,121.500454,31.234126,3
光启公园,上海市徐汇区南丹路17号近汇站路,121.441044,31.195968,3
