name,address,lng,lat
X017,上海市松江区,121.296805,31.011612
闵塔路,上海市松江区,121.217138,30.986032
闵塔公路,上海市松江区,121.271657,30.985228
松金公路,上海市,121.244288,30.961093
利丰河桥,上海市松江区,121.244979,30.979394
联民中心路,上海市松江区,121.250852,30.991637
盐平公路,上海市松江区,121.236087,30.981137
玉阳路,上海市松江区,121.234064,30.993461
富永路,上海市松江区,121.229279,31.002907
富强路,上海市松江区,121.239589,30.999354
洞泾港桥,上海市松江区,121.266298,30.984753
松卫北路,上海市,121.271204,30.997083
闵塔公路,上海市松江区,121.271657,30.985228
松浦三桥,上海市松江区,121.271573,30.962582
南乐路,上海市松江区,121.271956,30.987602
欣浪路,上海市松江区,121.283991,31.001629
福卫路,上海市松江区,121.273632,30.975006
官联公路,上海市松江区,121.265813,30.989432
闵塔路,上海市松江区,121.217138,30.986032
联梅路,上海市松江区,121.274742,30.996865
欣浪路,上海市松江区,121.283991,31.001629
华泖路,上海市松江区,121.287555,30.99038
松卫北路,上海市,121.271204,30.997083
南乐路,上海市松江区,121.271956,30.987602
车阳路,上海市松江区,121.27065,30.992367
松浦三桥,上海市松江区,121.271573,30.962582
华泖公路,上海市松江区,121.286666,30.98947
福卫路,上海市松江区,121.273632,30.975006
长福公路,上海市松江区,121.275478,30.968736
泾车路,上海市松江区,121.301322,30.997311
旺盛路,上海市松江区,121.308893,30.986721
松浦大桥,上海市松江区,121.32143,30.971355
车阳路,上海市松江区,121.27065,30.992367
薛亭路,上海市松江区,121.299328,30.985204
引水路,上海市松江区,121.313714,30.98297
西堆场路,上海市松江区,121.316018,30.979689
旺市路,上海市松江区,121.308304,30.988124
泾车路,上海市松江区,121.301322,30.997311
车水公路,上海市松江区,121.322434,30.969369
兴茂路,上海市松江区,121.309532,30.987745
引水公路,上海市松江区,121.327896,30.985859
松浦大桥,上海市松江区,121.316325,30.979622
引水路,上海市松江区,121.318747,30.983544
江川路,上海市闵行区,121.383156,31.001051
东兴公路,上海市松江区,121.338548,30.97065
车水公路,上海市松江区,121.323384,30.967315
新桥公路,上海市松江区,121.328337,30.964846
求城路,上海市松江区,121.328596,30.974189
大桥公路,上海市松江区,121.319348,30.967035
西堆场路,上海市松江区,121.305846,30.974919
江川路,上海市闵行区,121.376621,30.999176
东兴公路,上海市松江区,121.337481,30.9827
东勤公路,上海市松江区,121.363095,30.977206
西畴路,上海市闵行区,121.360742,30.989075
引水公路,上海市松江区,121.328984,30.986868
陆家桥,上海市松江区,121.34961,30.975252
荷巷桥路,上海市闵行区,121.356547,30.997761
费家桥,上海市松江区,121.34992,30.972896
广场路,上海市闵行区,121.342877,30.998544
江川路2199弄,上海市闵行区,121.354158,30.991732
千步泾防汛通道桥,上海市奉贤区,121.366033,30.981851
西畴路,上海市闵行区,121.360742,30.989075
祥云路,上海市闵行区,121.374316,30.991321
闵江路,上海市闵行区,121.368169,30.993356
荷巷桥路,上海市闵行区,121.356547,30.997761
新张路,上海市奉贤区,121.37781,30.971052
金泾港桥,上海市奉贤区,121.377038,30.976214
东杨路,上海市松江区,121.355367,30.970475
江川路2199弄,上海市闵行区,121.354158,30.991732
彭江路,上海市闵行区,121.36555,30.99196
浦卫公路辅路,上海市奉贤区,121.38973,30.977371
闵浦三桥,上海市,121.382762,30.988162
祥云路,上海市闵行区,121.374316,30.991321
江薛路,上海市闵行区,121.378356,30.997757
北环路,上海市奉贤区,121.384308,30.964838
巨潮港桥,上海市奉贤区,121.382782,30.983116
北耀路,上海市奉贤区,121.392328,30.968114
庄胡路,上海市奉贤区,121.391159,30.983949
邬桥友谊路,上海市奉贤区,121.395147,30.971854
新张路,上海市奉贤区,121.37781,30.971052
浦耀路,上海市奉贤区,121.407046,30.977727
南沙港桥,上海市奉贤区,121.403103,30.982967
浦秀中心路,上海市奉贤区,121.415601,30.973823
渔汇路,上海市奉贤区,121.400302,30.979974
安邬路,上海市奉贤区,121.404767,30.96597
安东路,上海市奉贤区,121.409162,30.968811
光辉河桥,上海市奉贤区,121.41123,30.987923
北环路,上海市奉贤区,121.384308,30.964838
灯北路,上海市奉贤区,121.431246,30.977087
北横路,上海市奉贤区,121.405211,30.986898
灯北路,上海市奉贤区,121.431246,30.977087
灯塔中心路,上海市奉贤区,121.425915,30.979683
展发路,上海市奉贤区,121.438699,30.975884
闵浦二桥,上海市,121.436709,31.000606
兴中路,上海市奉贤区,121.434911,30.993163
袁家宅路,上海市奉贤区,121.445565,30.979841
肖塘路,上海市奉贤区,121.441839,30.96827
鸿程路,上海市奉贤区,121.430805,30.992768
马家宅路,上海市奉贤区,121.438218,30.973344
展发二支路,上海市奉贤区,121.441608,30.976648
郭家村桥,上海市奉贤区,121.4447,30.981877
港和路,上海市奉贤区,121.448791,30.982822
闵浦二桥,上海市,121.436709,31.000606
美宝路,上海市奉贤区,121.459368,30.991793
扶港路,上海市奉贤区,121.454117,30.983873
肖玻路,上海市奉贤区,121.449396,30.97619
展发二支路,上海市奉贤区,121.441608,30.976648
袁家宅路,上海市奉贤区,121.445565,30.979841
奉金路,上海市奉贤区,121.44859,30.978586
沪杭公路辅路,上海市奉贤区,121.438154,30.997225
肖梅路,上海市奉贤区,121.467879,30.983329
美宝路,上海市奉贤区,121.457258,30.991155
奉金路,上海市奉贤区,121.44748,30.978172
叶梅路,上海市奉贤区,121.472725,30.980377
亿松路,上海市奉贤区,121.457272,30.986486
金大路,上海市奉贤区,121.4623,30.985715
扶港路,上海市奉贤区,121.456092,30.978002
汇丰北路,上海市奉贤区,121.482683,30.976755
华松路,上海市奉贤区,121.460304,30.990372
益民中心路,上海市奉贤区,121.490812,30.989258
宏伟河桥,上海市奉贤区,121.487482,30.981988
新民港路,上海市奉贤区,121.479877,30.99217
岚丰路,上海市奉贤区,121.489877,30.973192
嘉园路,上海市奉贤区,121.499798,30.97371
北横河桥,上海市奉贤区,121.482204,30.981825
汇丰北路,上海市奉贤区,121.474949,30.975769
博丰路,上海市奉贤区,121.500536,30.969417
丽丰路,上海市奉贤区,121.476124,30.978014
新民路,上海市奉贤区,121.491623,30.987072
庆园路,上海市奉贤区,121.496121,30.964819
金碧路,上海市,121.514135,30.973011
金汇港桥,上海市奉贤区,121.503328,30.982806
嘉园路,上海市奉贤区,121.499798,30.97371
金汇中街,上海市奉贤区,121.50772,30.993978
金汇工业路,上海市奉贤区,121.513053,30.996952
贤浦路,上海市奉贤区,121.516845,30.979429
北行路,上海市奉贤区,121.52492,30.976404
博丰路,上海市奉贤区,121.500536,30.969417
庵港桥,上海市奉贤区,121.522352,30.985298
汇二路,上海市奉贤区,121.52198,30.978888
新强路,上海市奉贤区,121.532799,30.976167
北行路,上海市奉贤区,121.52492,30.976404
金碧路,上海市,121.514135,30.973011
贤浦路,上海市奉贤区,121.516845,30.979429
汇二路,上海市奉贤区,121.52198,30.978888
南行港路,上海市奉贤区,121.497802,30.971936
金建路,上海市奉贤区,121.517083,30.982228
汇中路,上海市奉贤区,121.507221,30.994324
新强港桥,上海市奉贤区,121.53266,30.981811
南行路,上海市奉贤区,121.514686,30.969244
沿浦公路,上海市,121.544447,30.997501
泰西路,上海市奉贤区,121.560185,30.980669
新强路,上海市奉贤区,121.532799,30.976167
汇中路,上海市奉贤区,121.507221,30.994324
西星港路,上海市奉贤区,121.55432,30.982345
大叶公路与日新路交叉口,上海市奉贤区,121.545224,30.982835
明星路,上海市奉贤区,121.549023,30.991227
陆厍二组排河桥,上海市奉贤区,121.555193,30.968978
西新港桥,上海市奉贤区,121.554228,30.983948
康强路,上海市奉贤区,121.554789,30.973967
泰叶路,上海市奉贤区,121.567669,30.98491
泰青公路,上海市奉贤区,121.575964,30.959326
振泰路,上海市奉贤区,121.569423,30.987012
泰西路,上海市奉贤区,121.560185,30.980669
大昌路,上海市奉贤区,121.569467,30.986753
大昌南路,上海市奉贤区,121.569611,30.985764
沿浦公路,上海市,121.544447,30.997501
明星路,上海市奉贤区,121.549023,30.991227
新建路,上海市奉贤区,121.569889,30.989241
汇泰路,上海市奉贤区,121.604855,30.992619
大涨泾桥,上海市松江区,121.245149,30.985355
普照路,上海市松江区,121.246644,31.00807
金玉路,上海市松江区,121.218954,31.000628
松汇中路,上海市松江区,121.236046,31.009925
谷阳南路,上海市松江区,121.243625,31.00889
袜子弄,上海市松江区,121.248152,31.017027
中山中路,上海市松江区,121.235541,31.012664
富强路,上海市松江区,121.239589,30.999354
梅园路,上海市松江区,121.243251,31.002957
松江环城路,上海市松江区,121.262122,31.013141
申牛路,上海市松江区,121.265671,31.007634
联梅路,上海市松江区,121.274742,30.996865
香亭路,上海市松江区,121.280347,31.004295
南乐路,上海市松江区,121.271956,30.987602
松江环城路,上海市松江区,121.262122,31.013141
荣福路,上海市松江区,121.276968,30.998966
环城路,上海市松江区,121.258236,31.016498
中山东路,上海市松江区,121.272282,31.017731
松汇东路,上海市松江区,121.253608,31.008355
官联公路,上海市松江区,121.265813,30.989432
泖泾港桥,上海市松江区,121.286581,31.001553
北松公路,上海市,121.266601,31.00799
香泖路,上海市松江区,121.288413,31.003143
泖亭路,上海市松江区,121.295476,31.001779
南乐路,上海市松江区,121.271956,30.987602
香泾路,上海市松江区,121.295629,30.99513
香闵路,上海市松江区,121.300062,31.000662
荣福路,上海市松江区,121.276968,30.998966
车阳路,上海市松江区,121.27065,30.992367
欣浪路,上海市松江区,121.283991,31.001629
车亭公路,上海市,121.311675,30.995888
北闵路,上海市松江区,121.306202,31.008875
香车路,上海市松江区,121.29893,31.007178
北松公路,上海市,121.266601,31.00799
香闵路,上海市松江区,121.300062,31.000662
车阳路,上海市松江区,121.27065,30.992367
车业路,上海市松江区,121.308978,31.009471
车峰路,上海市松江区,121.326476,31.019446
泖亭路,上海市松江区,121.295476,31.001779
香泾路,上海市松江区,121.295629,30.99513
车峰路,上海市松江区,121.325641,31.010942
车亭公路,上海市,121.311643,31.003474
江川路,上海市闵行区,121.383156,31.001051
影佳路,上海市松江区,121.314636,31.013919
汇北支路,上海市松江区,121.323781,31.003106
车峰公路三二五弄,上海市松江区,121.327142,31.01421
影视路,上海市松江区,121.322493,31.019612
西小浜桥,上海市松江区,121.328879,31.005879
引水公路,上海市松江区,121.327896,30.985859
高桥村俞塘,上海市松江区,121.317298,31.00835
王家里路,上海市闵行区,121.346229,30.999131
江川路,上海市闵行区,121.376621,30.999176
广场路,上海市闵行区,121.342877,30.998544
汇江路,上海市闵行区,121.349088,31.009826
民仙路,上海市闵行区,121.347376,30.999168
西畴路,上海市闵行区,121.360742,30.989075
吴家里路,上海市闵行区,121.347342,30.998699
荷巷桥路,上海市闵行区,121.356547,30.997761
紫东路,上海市闵行区,121.36512,31.020924
民高路,上海市闵行区,121.34151,30.998048
绥江路,上海市闵行区,121.367923,31.003985
高田路,上海市闵行区,121.378955,31.002944
天宁路,上海市闵行区,121.371167,31.011286
碧溪路,上海市闵行区,121.36834,31.008722
祥云路,上海市闵行区,121.372804,30.995216
西畴路,上海市闵行区,121.359906,30.99337
江城路,上海市闵行区,121.371971,31.009162
天星路,上海市闵行区,121.377555,31.004868
昆阳路,上海市闵行区,121.37095,31.02909
江薛路,上海市闵行区,121.37812,30.998422
丽江路,上海市闵行区,121.387062,31.001556
高田路,上海市闵行区,121.378955,31.002944
南谷路,上海市闵行区,121.385186,31.005146
南雅路,上海市闵行区,121.390985,31.008476
南沙路,上海市闵行区,121.392341,31.004803
大姚路,上海市闵行区,121.391913,31.000429
大关路,上海市闵行区,121.392451,31.002063
文井路,上海市闵行区,121.388607,31.007962
江薛路,上海市闵行区,121.378356,30.997757
兰村路,上海市闵行区,121.390194,31.008278
华宁南路,上海市闵行区,121.406135,31.003794
宾川路,上海市闵行区,121.41977,31.010343
瑞丽路,上海市闵行区,121.414984,31.01305
菱川路,上海市闵行区,121.400907,31.002923
鹤庆路,上海市闵行区,121.4209,31.014049
碧江路,上海市闵行区,121.408951,31.013417
景谷路,上海市闵行区,121.415965,31.021343
临沧支路,上海市闵行区,121.400527,31.000727
临沧路,上海市闵行区,121.394685,31.007292
碧藤路,上海市闵行区,121.408203,31.011598
建设路,上海市闵行区,121.43,31.004952
兰坪路,上海市闵行区,121.424204,31.013259
华坪路,上海市闵行区,121.427286,31.00629
沿浦路,上海市奉贤区,121.431842,30.997237
鹤庆路,上海市闵行区,121.4209,31.014049
浦江路,上海市闵行区,121.431001,31.003667
瑞丽路,上海市闵行区,121.414984,31.01305
宾川路,上海市闵行区,121.41977,31.010343
新闵路,上海市闵行区,121.435809,31.010003
沿江路,上海市奉贤区,121.438731,31.002582
西闸公路,上海市奉贤区,121.431647,30.990529
美宝路,上海市奉贤区,121.459368,30.991793
浦南路,上海市奉贤区,121.448436,31.005959
西闸支路,上海市奉贤区,121.448698,30.999636
沿江路,上海市奉贤区,121.438731,31.002582
X421,上海市,121.473,31.007728
闸园路,上海市奉贤区,121.439214,30.998962
扶兰路,上海市奉贤区,121.443445,30.998334
扶兰支路,上海市奉贤区,121.447292,30.996373
兰坪路,上海市闵行区,121.424204,31.013259
白庙港路,上海市奉贤区,121.47078,31.003629
西闸公路,上海市奉贤区,121.431647,30.990529
美宝路,上海市奉贤区,121.459368,30.991793
虹梅南路隧道,上海市,121.481056,31.006779
潘家堂路,上海市奉贤区,121.47602,31.00339
华松路,上海市奉贤区,121.449098,30.986016
亿松路,上海市奉贤区,121.459309,30.987104
南渡村路,上海市奉贤区,121.464261,31.006221
刘大路,上海市奉贤区,121.462002,30.990003
叶梅路,上海市奉贤区,121.471761,30.983826
中心河桥,上海市奉贤区,121.489603,31.004449
虹梅南路隧道,上海市,121.481056,31.006779
五宅路,上海市奉贤区,121.489874,31.004889
益北路,上海市奉贤区,121.494466,30.987872
金庄公路,上海市奉贤区,121.484482,30.995614
Y668,上海市奉贤区,121.482986,31.000608
新民港路,上海市奉贤区,121.479877,30.99217
金庄公路辅路,上海市奉贤区,121.48483,30.995847
金海公路辅路,上海市奉贤区,121.483551,30.997904
西闸公路桥,上海市奉贤区,121.498631,31.010083
汇北河桥,上海市奉贤区,121.505727,31.00286
金闸公路,上海市奉贤区,121.510077,30.98434
金汇工业路,上海市奉贤区,121.522476,30.997517
金发路,上海市奉贤区,121.514486,30.99969
迎金路,上海市奉贤区,121.518674,31.003084
金汇中街,上海市奉贤区,121.509182,30.994075
锦日路,上海市奉贤区,121.513413,30.998694
金汇西街,上海市奉贤区,121.505617,30.993822
金汇东街,上海市奉贤区,121.511309,30.994222
辉煌路,上海市奉贤区,121.513247,31.005856
金聚路,上海市奉贤区,121.524893,31.00397
江艇路,上海市奉贤区,121.525753,31.002981
辉煌路,上海市奉贤区,121.507601,31.004216
金斗路,上海市奉贤区,121.529205,31.001225
金闸公路,上海市奉贤区,121.510541,30.995505
汇中路,上海市奉贤区,121.507221,30.994324
永南路,上海市,121.522796,31.011271
鼎金路,上海市奉贤区,121.520945,31.007218
迎金路,上海市奉贤区,121.520707,31.003351
金汇工业路,上海市奉贤区,121.513053,30.996952
金斗路,上海市奉贤区,121.529205,31.001225
贤农路,上海市闵行区,121.5554,30.99992
沿浦公路,上海市,121.544447,30.997501
汇中路,上海市奉贤区,121.507221,30.994324
泰西路,上海市奉贤区,121.560185,30.980669
金聚路,上海市奉贤区,121.524893,31.00397
明星路,上海市奉贤区,121.549023,30.991227
继光路,上海市奉贤区,121.535824,30.997296
汇中路二号桥,上海市奉贤区,121.539852,30.996977
文君路,上海市闵行区,121.544766,31.014465
Y009,上海市闵行区,121.565614,31.003778
泰青公路,上海市奉贤区,121.575964,30.959326
中南河桥,上海市闵行区,121.569718,31.004852
泰梅路,上海市奉贤区,121.596725,30.99998
明星路,上海市奉贤区,121.549023,30.991227
泰西路,上海市奉贤区,121.560185,30.980669
贤农路,上海市闵行区,121.5554,30.99992
振泰路,上海市奉贤区,121.569423,30.987012
泰叶路,上海市奉贤区,121.567669,30.98491
耀辉路,上海市奉贤区,121.567937,30.992626
联海桥,上海市松江区,121.249216,31.022836
北门街,上海市松江区,121.248464,31.019758
袜子弄,上海市松江区,121.248152,31.017027
方塔北路,上海市松江区,121.253062,31.030825
沪松路七弄,上海市松江区北门街与沪松路交叉口西北方向30米,121.24951,31.020563
松乐路,上海市松江区,121.246642,31.015886
沪松路,上海市松江区,121.250379,31.020678
松东路,上海市松江区,121.259949,31.028534
乐都路,上海市松江区,121.230516,31.019517
环城路,上海市松江区,121.258236,31.016498
荣乐东路,上海市松江区,121.269735,31.023127
松东路,上海市松江区,121.259949,31.028534
宝荣路,上海市松江区,121.269773,31.029444
洞泾路,上海市松江区,121.265112,31.029209
环城路,上海市松江区,121.258236,31.016498
宝益路,上海市松江区,121.269858,31.028664
俞塘路,上海市松江区,121.258445,31.026384
中山东路,上海市松江区,121.272282,31.017731
方塔北路,上海市松江区,121.253062,31.030825
宝胜路,上海市松江区,121.277758,31.023979
华加路,上海市松江区,121.282266,31.023696
北松公路,上海市,121.266601,31.00799
宝胜路,上海市松江区,121.277758,31.023979
西泖泾路,上海市松江区,121.29266,31.027221
宝荣路,上海市松江区,121.269773,31.029444
东兴路,上海市松江区,121.273647,31.03536
华扩路,上海市松江区,121.283116,31.016133
南乐路1276弄,上海市松江区,121.286924,31.027
东泖泾路,上海市松江区,121.291884,31.022345
三浜路,上海市松江区,121.3104,31.035467
华德路,上海市松江区,121.311404,31.022936
三庄路,上海市松江区,121.309286,31.023643
车亭公路,上海市,121.311675,30.995888
茸腾路,上海市松江区,121.308162,31.02575
虬长路,上海市松江区,121.316826,31.02147
